date,title,image,legend,text
"2022-01-01","O gato e a impressora","https://loremflickr.com/400/300","Gato curioso","Um gato famoso na internet se tornou viral depois de ser flagrado tentando ajudar seu dono a imprimir, mas acabou sujando toda a impressora com suas patas."
"2023-02-15","O cachorro que fala","https://loremflickr.com/400/301","Cão falante","Um cachorro em uma cidade pequena começou a falar com seus donos de uma maneira tão convincente que a vizinhança ficou convencida de que ele realmente tinha algo a dizer."
"2021-03-10","O pato que adora dançar","https://loremflickr.com/399/300","Pato dançarino","Um vídeo de um pato dançando ao som de músicas pop se tornou um sucesso nas redes sociais, fazendo com que muitos se perguntassem se ele poderia ser a nova estrela do TikTok."
"2024-04-20","O gato que ama o banho","https://loremflickr.com/400/302","Gato aquático","Em uma casa, um gato que sempre detestou água, de repente começou a pular na banheira sempre que a água estava correndo, surpreendendo seus donos e se tornando um verdadeiro amante de banhos."
"2023-05-05","O papagaio que conta piadas","https://loremflickr.com/399/301","Papagaio humorista","Um papagaio que se tornou famoso por suas piadas engraçadas, fazendo com que os visitantes da casa sempre quisessem ouvir suas novas performances."
"2022-06-15","A vaca que toca violão","https://loremflickr.com/398/300","Vaca musicista","Uma vaca em uma fazenda foi flagrada tocando um violão, e o vídeo rapidamente se tornou viral, levando a fazenda a ganhar fama mundial."
"2024-07-30","O hamster que faz truques","https://loremflickr.com/400/303","Hamster mágico","Um hamster que aprendeu a fazer truques impressionantes em um show de talentos de animais, conquistando o coração de todos com suas habilidades."
"2021-08-25","O coelho que faz yoga","https://loremflickr.com/401/300","Coelho zen","Um coelho que foi ensinado a fazer poses de yoga se tornou uma sensação na internet, com vídeos de suas práticas se espalhando por todo o mundo."
"2023-09-10","O gato que ama o sushi","https://loremflickr.com/402/301","Gato gourmet","Um gato que foi filmado saboreando sushi com tanto prazer que seus donos começaram a criar um canal no YouTube apenas para compartilhar suas experiências culinárias."
"2022-10-05","O cão que imita o dono","https://loremflickr.com/400/304","Cão imitador","Um cão que começou a imitar seu dono em várias situações, fazendo com que todos na vizinhança rissessem e se perguntassem se ele realmente tinha aprendido."
